Name	DS-ID	Tissue	Time	Group	Cut-Count-File	Peak-File	Stage	Fetal-Early	System	Sub-Name	Previous Sample
mRetina-DS19060	DS19060	mRetina		retina	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mRetina-DS19060.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mRetina-DS19060.peaks.mm10.bed.starch	adult		Brain		TRUE
mRetina-DS20000	DS20000	mRetina	P7	retina	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mRetina-DS20000.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mRetina-DS20000.peaks.mm10.bed.starch	adult		Brain		TRUE
mSpleen-DS18870	DS18870	mSpleen		B cell/spleen	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mSpleen-DS18870.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mSpleen-DS18870.peaks.mm10.bed.starch	adult		Heme		TRUE
mSpleen-DS18884	DS18884	mSpleen		B cell/spleen	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mSpleen-DS18884.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mSpleen-DS18884.peaks.mm10.bed.starch	adult		Heme		TRUE
mThymus-DS18819	DS18819	mThymus		T cell/thymus	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mThymus-DS18819.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mThymus-DS18819.peaks.mm10.bed.starch	adult		Heme		TRUE
mThymus-DS18890	DS18890	mThymus		T cell/thymus	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mThymus-DS18890.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mThymus-DS18890.peaks.mm10.bed.starch	adult		Heme		TRUE
mTN-DS13720	DS13720	mTN		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTN-DS13720.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTN-DS13720.peaks.mm10.bed.starch	adult		Heme		TRUE
mTN-DS16171	DS16171	mTN		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTN-DS16171.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTN-DS16171.peaks.mm10.bed.starch	adult		Heme		TRUE
mTN-DS17080	DS17080	mTN		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTN-DS17080.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTN-DS17080.peaks.mm10.bed.starch	adult		Heme		TRUE
mTN-DS17082	DS17082	mTN		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTN-DS17082.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTN-DS17082.peaks.mm10.bed.starch	adult		Heme		TRUE
mTR-DS13834	DS13834	mTR		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTR-DS13834.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTR-DS13834.peaks.mm10.bed.starch	adult		Heme		TRUE
mTR-DS17864	DS17864	mTR		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTR-DS17864.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTR-DS17864.peaks.mm10.bed.starch	adult		Heme		TRUE
mTreg-DS16358	DS16358	mTR		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mTreg-DS16358.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mTreg-DS16358.peaks.mm10.bed.starch	adult		Heme		TRUE
Muller_Retina_Glia-P12_DS23706	DS23706	Muller_Retina_Glia	P12	retina	/home/jlazar/proj/mouse_encode/cut_counts/base-count.Muller_Retina_Glia-DS23706A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/Muller_Retina_Glia-DS23706A.peaks.mm10.bed.starch	adult		Brain		FALSE
Muller_Retina_Glia-P12_DS27620	DS27620	Muller_Retina_Glia	P12	retina	/home/jlazar/proj/mouse_encode/cut_counts/base-count.Muller_Retina_Glia-DS27620A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/Muller_Retina_Glia-DS27620A.peaks.mm10.bed.starch	adult		Brain		FALSE
Muller_Retina_Glia-P12_DS27625	DS27625	Muller_Retina_Glia	P12	retina	/home/jlazar/proj/mouse_encode/cut_counts/base-count.Muller_Retina_Glia-DS27625A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/Muller_Retina_Glia-DS27625A.peaks.mm10.bed.starch	adult		Brain		FALSE
PMTPU_10c-DS20655	DS20655	PMTPU_10c		modified leukemia	/home/jlazar/proj/mouse_encode/cut_counts/base-count.PMTPU_10c-DS20655.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/PMTPU_10c-DS20655.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
PMTPU_10c-DS21963	DS21963	PMTPU_10c		modified leukemia	/home/jlazar/proj/mouse_encode/cut_counts/base-count.PMTPU_10c-DS21963.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/PMTPU_10c-DS21963.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
PMTPU_10i-DS21968	DS21968	PMTPU_10i		modified leukemia	/home/jlazar/proj/mouse_encode/cut_counts/base-count.PMTPU_10i-DS21968.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/PMTPU_10i-DS21968.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
PMTPU_10i-DS21969	DS21969	PMTPU_10i		modified leukemia	/home/jlazar/proj/mouse_encode/cut_counts/base-count.PMTPU_10i-DS21969.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/PMTPU_10i-DS21969.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
mPATSKI-DS15692	DS15692	mPATSKI		kidney/neural	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mPATSKI-DS15692.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mPATSKI-DS15692.peaks.mm10.bed.starch	fetal		Kidney		TRUE
mPATSKI-DS15697	DS15697	mPATSKI		kidney/neural	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mPATSKI-DS15697.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mPATSKI-DS15697.peaks.mm10.bed.starch	fetal		Kidney		TRUE
craniofacial-e14.5d_DS29579	DS29579	craniofacial	14.5	craniofacial	/home/jlazar/proj/mouse_encode/cut_counts/base-count.craniofacial-DS29579A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/craniofacial-DS29579A.peaks.mm10.bed.starch	fetal	Late			FALSE
craniofacial-e14.5d_DS29581	DS29581	craniofacial	14.5	craniofacial	/home/jlazar/proj/mouse_encode/cut_counts/base-count.craniofacial-DS29581A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/craniofacial-DS29581A.peaks.mm10.bed.starch	fetal	Late			FALSE
craniofacial-e11.5d_DS30064	DS30064	craniofacial	11.5	craniofacial	/home/jlazar/proj/mouse_encode/cut_counts/base-count.craniofacial-DS30064A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/craniofacial-DS30064A.peaks.mm10.bed.starch	fetal	Early			FALSE
craniofacial-e10.5d_DS44757	DS44757	craniofacial	10.5	craniofacial	/home/jlazar/proj/mouse_encode/cut_counts/base-count.craniofacial-DS44757B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/craniofacial-DS44757B.peaks.mm10.bed.starch	fetal	Early			FALSE
craniofacial-e10.5d_DS53173	DS53173	craniofacial	10.5	craniofacial	/home/jlazar/proj/mouse_encode/cut_counts/base-count.craniofacial-DS53173A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/craniofacial-DS53173A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e10.5d_DS28755	DS28755	embryo	10.5	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS28755A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS28755A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e10.5d_DS28916	DS28916	embryo	10.5	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS28916A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS28916A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e11d_DS29237	DS29237	embryo	11	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS29237A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS29237A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e11d_DS29242	DS29242	embryo	11	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS29242A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS29242A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e10d_DS29623	DS29623	embryo	10	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS29623A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS29623A.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e9.5d_DS45277	DS45277	embryo	9.5	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS45277B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS45277B.peaks.mm10.bed.starch	fetal	Early			FALSE
embryo-e10.0d_DS53214	DS53214	embryo	10	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.embryo-DS53214A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/embryo-DS53214A.peaks.mm10.bed.starch	fetal	Early			FALSE
forebrain-P0_DS28085	DS28085	forebrain	P0	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS28085C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS28085C.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
forebrain-e14.5d_DS29586	DS29586	forebrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS29586A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS29586A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
forebrain-e11.5d_DS30069	DS30069	forebrain	11.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS30069B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS30069B.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
forebrain-d11.5_DS33930	DS33930	forebrain	11.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS33930C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS33930C.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
forebrain-e14.5d_DS37209	DS37209	forebrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS37209A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS37209A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
forebrain-e10.5d_DS45292	DS45292	forebrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS45292C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS45292C.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
forebrain-e10.5d_DS53177	DS53177	forebrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.forebrain-DS53177A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/forebrain-DS53177A.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
hindbrain-P0_DS28073	DS28073	hindbrain	P0	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS28073A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS28073A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
hindbrain-e14.5d_DS28886	DS28886	hindbrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS28886C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS28886C.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
hindbrain-P0_DS29484	DS29484	hindbrain	P0	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS29484C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS29484C.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
hindbrain-e14.5d_DS29591	DS29591	hindbrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS29591A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS29591A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
hindbrain-e11.5d_DS30057	DS30057	hindbrain	11.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS30057B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS30057B.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
hindbrain-e11.5d_DS33941	DS33941	hindbrain	11.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS33941A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS33941A.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
hindbrain-e10.5d_DS45296	DS45296	hindbrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS45296C.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS45296C.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
hindbrain-e10.5d_DS53182	DS53182	hindbrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.hindbrain-DS53182A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/hindbrain-DS53182A.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
limb-e14.5d_DS28901	DS28901	limb	14.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS28901A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS28901A.peaks.mm10.bed.starch	fetal	Late	MSK		FALSE
limb-e14.5d_DS29602	DS29602	limb	14.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS29602A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS29602A.peaks.mm10.bed.starch	fetal	Late	MSK		FALSE
limb-e11.5d_DS30093	DS30093	limb	11.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS30093B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS30093B.peaks.mm10.bed.starch	fetal	Early	MSK		FALSE
limb-e11.5d_DS35114	DS35114	limb	11.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS35114A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS35114A.peaks.mm10.bed.starch	fetal	Early	MSK		FALSE
limb-e10.5d_DS44776	DS44776	limb	10.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS44776B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS44776B.peaks.mm10.bed.starch	fetal	Early	MSK		FALSE
limb-e10.5d_DS53189	DS53189	limb	10.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.limb-DS53189A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/limb-DS53189A.peaks.mm10.bed.starch	fetal	Early	MSK		FALSE
mCD1-DS17129	DS17129	mCD1	11.5	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCD1-DS17129.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCD1-DS17129.peaks.mm10.bed.starch	fetal	Early			TRUE
mCD1-DS17221	DS17221	mCD1	11.5	tissue	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCD1-DS17221.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCD1-DS17221.peaks.mm10.bed.starch	fetal	Early			TRUE
mfBrain-DS14536	DS14536	mfBrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mfBrain-DS14536.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mfBrain-DS14536.peaks.mm10.bed.starch	fetal	Late	Brain		TRUE
mfBrain-DS14537	DS14537	mfBrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mfBrain-DS14537.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mfBrain-DS14537.peaks.mm10.bed.starch	fetal	Late	Brain		TRUE
mfBrain-DS15269	DS15269	mfBrain	18.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mfBrain-DS15269.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mfBrain-DS15269.peaks.mm10.bed.starch	fetal	Late	Brain		TRUE
mfBrain-DS19690	DS19690	mfBrain	18.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mfBrain-DS19690.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mfBrain-DS19690.peaks.mm10.bed.starch	fetal	Late	Brain		TRUE
mForelimbBuds-DS18192	DS18192	mForelimbBuds	11.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mForelimbBuds-DS18192.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mForelimbBuds-DS18192.peaks.mm10.bed.starch	fetal	Early	MSK		TRUE
mForelimbBuds-DS18275	DS18275	mForelimbBuds	11.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mForelimbBuds-DS18275.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mForelimbBuds-DS18275.peaks.mm10.bed.starch	fetal	Early	MSK		TRUE
heart-e10.5d_DS44773	DS44773	mHeart	10.5	heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.heart-DS44773B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/heart-DS44773B.peaks.mm10.bed.starch	fetal	Early	CV		FALSE
heart-e10.5d_DS53179	DS53179	mHeart	10.5	heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.heart-DS53179B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/heart-DS53179B.peaks.mm10.bed.starch	fetal	Early	CV		FALSE
mHeart-P0_DS39823	DS39823	mHeart	P0	heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mHeart-DS39823A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mHeart-DS39823A.peaks.mm10.bed.starch	fetal	Late	CV		FALSE
mHeart-P0_DS39828	DS39828	mHeart	P0	heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mHeart-DS39828A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mHeart-DS39828A.peaks.mm10.bed.starch	fetal	Late	CV		FALSE
mHindlimbsBuds-DS18279	DS18279	mHindlimbsBuds	11.5	msk	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mHindlimbsBuds-DS18279.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mHindlimbsBuds-DS18279.peaks.mm10.bed.starch	fetal	Early	MSK		TRUE
midbrain-P0_DS28061	DS28061	midbrain	P0	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS28061A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/midbrain-DS28061A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
midbrain-P0_DS29479	DS29479	midbrain	P0	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS29479A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/midbrain-DS29479A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
midbrain-e14.5d_DS29597	DS29597	midbrain	14.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS29597A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/midbrain-DS29597A.peaks.mm10.bed.starch	fetal	Late	Brain		FALSE
midbrain-e11.5d_DS33935	DS33935	midbrain	11.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS33935C.perBase.36.mm10.bed.starch	/home/jlazar/proj/mouse_encode/data_04_18/hindbrain.11.5.replicate_peak_file.bed	fetal	Early	Brain		FALSE
midbrain-e10.5d_DS45299	DS45299	midbrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS45299B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/midbrain-DS45299B.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
midbrain-e10.5d_DS53205	DS53205	midbrain	10.5	brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.midbrain-DS53205A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/midbrain-DS53205A.peaks.mm10.bed.starch	fetal	Early	Brain		FALSE
intestine-e14.5_DS28910	DS28910	mIntestine_Large	14.5	GI	/home/jlazar/proj/mouse_encode/cut_counts/base-count.intestine-DS28910A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/intestine-DS28910A.peaks.mm10.bed.starch	fetal	Late	GI		FALSE
intestine-e14.5_DS29721	DS29721	mIntestine_Large	14.5	GI	/home/jlazar/proj/mouse_encode/cut_counts/base-count.intestine-DS29721B.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/intestine-DS29721B.peaks.mm10.bed.starch	fetal	Late	GI		FALSE
mKidney-P0_DS39910	DS39910	mKidney	P0	kidney	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mKidney-DS39910A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mKidney-DS39910A.peaks.mm10.bed.starch	fetal	Late	Kidney		FALSE
mKidney-P0_DS39926	DS39926	mKidney	P0	kidney	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mKidney-DS39926A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mKidney-DS39926A.peaks.mm10.bed.starch	fetal	Late	Kidney		FALSE
mLiver-P0_DS39858	DS39858	mLiver	P0	liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS39858A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS39858A.peaks.mm10.bed.starch	fetal	Late	GI		FALSE
