DS-ID	Tissue	Time	Patient	Peak-File	Cut-Count-File	Aggregation-ID
DS17844	small_intestine	d98	H23964	/net/seq/data/aggregations/LN4088/aggregation-8998/peaks/LN4088.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4088/aggregation-8998/LN4088.GRCh38_no_alts.cutcounts.sorted.bed.starch	8998.0
DS17848	muscle	d98	H23964	/net/seq/data/aggregations/LN4089/aggregation-8997/peaks/LN4089.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4089/aggregation-8997/LN4089.GRCh38_no_alts.cutcounts.sorted.bed.starch	8997.0
DS17878	stomach	d98	H23964	/net/seq/data/aggregations/LN4096/aggregation-8993/peaks/LN4096.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4096/aggregation-8993/LN4096.GRCh38_no_alts.cutcounts.sorted.bed.starch	8993.0
DS17954	right_lung	d105	H24005	/net/seq/data/aggregations/LN4107/aggregation-8990/peaks/LN4107.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4107/aggregation-8990/LN4107.GRCh38_no_alts.cutcounts.sorted.bed.starch	8990.0
DS17959	left_lung	d105	H24005	/net/seq/data/aggregations/LN4108/aggregation-8989/peaks/LN4108.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4108/aggregation-8989/LN4108.GRCh38_no_alts.cutcounts.sorted.bed.starch	8989.0
DS17963	stomach	d105	H24005	/net/seq/data/aggregations/LN4109/aggregation-8988/peaks/LN4109.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4109/aggregation-8988/LN4109.GRCh38_no_alts.cutcounts.sorted.bed.starch	8988.0
DS17963	stomach	d105	H24005	/net/seq/data/aggregations/LN4109/aggregation-8988/peaks/LN4109.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4109/aggregation-8988/LN4109.GRCh38_no_alts.cutcounts.sorted.bed.starch	8988.0
DS17990	large_intestine	d105	H24005	/net/seq/data/aggregations/LN4122/aggregation-8987/peaks/LN4122.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4122/aggregation-8987/LN4122.GRCh38_no_alts.cutcounts.sorted.bed.starch	8987.0
DS18080	muscle	d105	H24005	/net/seq/data/aggregations/LN4136/aggregation-8986/peaks/LN4136.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4136/aggregation-8986/LN4136.GRCh38_no_alts.cutcounts.sorted.bed.starch	8986.0
DS18088	renal_pelvis	d105	H24005	/net/seq/data/aggregations/LN4139/aggregation-8984/peaks/LN4139.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4139/aggregation-8984/LN4139.GRCh38_no_alts.cutcounts.sorted.bed.starch	8984.0
DS18170	left_lung	d115	H23640	/net/seq/data/aggregations/LN4148/aggregation-8983/peaks/LN4148.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4148/aggregation-8983/LN4148.GRCh38_no_alts.cutcounts.sorted.bed.starch	8983.0
DS18176	muscle	d120	H24042	/net/seq/data/aggregations/LN4150/aggregation-8981/peaks/LN4150.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4150/aggregation-8981/LN4150.GRCh38_no_alts.cutcounts.sorted.bed.starch	8981.0
DS18379	muscle	d127	H24078	/net/seq/data/aggregations/LN4252/aggregation-8975/peaks/LN4252.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4252/aggregation-8975/LN4252.GRCh38_no_alts.cutcounts.sorted.bed.starch	8975.0
DS18389	stomach	d127	H24078	/net/seq/data/aggregations/LN4255/aggregation-8972/peaks/LN4255.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4255/aggregation-8972/LN4255.GRCh38_no_alts.cutcounts.sorted.bed.starch	8972.0
DS18418	right_lung	d96	H24089	/net/seq/data/aggregations/LN4266/aggregation-8971/peaks/LN4266.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4266/aggregation-8971/LN4266.GRCh38_no_alts.cutcounts.sorted.bed.starch	8971.0
DS18421	left_lung	d96	H24089	/net/seq/data/aggregations/LN4267/aggregation-8970/peaks/LN4267.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4267/aggregation-8970/LN4267.GRCh38_no_alts.cutcounts.sorted.bed.starch	8970.0
DS18428	renal_cortex	d127	H24078	/net/seq/data/aggregations/LN4269/aggregation-8969/peaks/LN4269.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4269/aggregation-8969/LN4269.GRCh38_no_alts.cutcounts.sorted.bed.starch	8969.0
DS18431	renal_pelvis	d127	H24078	/net/seq/data/aggregations/LN4270/aggregation-8968/peaks/LN4270.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4270/aggregation-8968/LN4270.GRCh38_no_alts.cutcounts.sorted.bed.starch	8968.0
DS18452	muscle	d96	H24089	/net/seq/data/aggregations/LN4277/aggregation-8966/peaks/LN4277.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4277/aggregation-8966/LN4277.GRCh38_no_alts.cutcounts.sorted.bed.starch	8966.0
DS18463	right_kidney	d96	H24089	/net/seq/data/aggregations/LN4280/aggregation-8963/peaks/LN4280.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4280/aggregation-8963/LN4280.GRCh38_no_alts.cutcounts.sorted.bed.starch	8963.0
DS18466	left_kidney	d96	H24089	/net/seq/data/aggregations/LN4281/aggregation-8962/peaks/LN4281.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4281/aggregation-8962/LN4281.GRCh38_no_alts.cutcounts.sorted.bed.starch	8962.0
DS18473	muscle	d105	H24111	/net/seq/data/aggregations/LN4284/aggregation-8959/peaks/LN4284.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4284/aggregation-8959/LN4284.GRCh38_no_alts.cutcounts.sorted.bed.starch	8959.0
DS18487	left_lung	d105	H24111	/net/seq/data/aggregations/LN4290/aggregation-8958/peaks/LN4290.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4290/aggregation-8958/LN4290.GRCh38_no_alts.cutcounts.sorted.bed.starch	8958.0
DS18492	right_lung	d105	H24111	/net/seq/data/aggregations/LN4292/aggregation-8957/peaks/LN4292.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4292/aggregation-8957/LN4292.GRCh38_no_alts.cutcounts.sorted.bed.starch	8957.0
DS18495	small_intestine	d105	H24111	/net/seq/data/aggregations/LN4293/aggregation-8956/peaks/LN4293.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4293/aggregation-8956/LN4293.GRCh38_no_alts.cutcounts.sorted.bed.starch	8956.0
DS18499	large_intestine	d105	H24111	/net/seq/data/aggregations/LN4295/aggregation-8955/peaks/LN4295.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4295/aggregation-8955/LN4295.GRCh38_no_alts.cutcounts.sorted.bed.starch	8955.0
DS18501	spinal_cord	d105	H24111	/net/seq/data/aggregations/LN4296/aggregation-8954/peaks/LN4296.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4296/aggregation-8954/LN4296.GRCh38_no_alts.cutcounts.sorted.bed.starch	8954.0
DS18559	muscle	d101	H24125	/net/seq/data/aggregations/LN4317/aggregation-8950/peaks/LN4317.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4317/aggregation-8950/LN4317.GRCh38_no_alts.cutcounts.sorted.bed.starch	8950.0
DS18821	stomach	d101	H24125	/net/seq/data/aggregations/LN4388/aggregation-8939/peaks/LN4388.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4388/aggregation-8939/LN4388.GRCh38_no_alts.cutcounts.sorted.bed.starch	8939.0
DS18992	muscle	d115	H24143	/net/seq/data/aggregations/LN4439/aggregation-8930/peaks/LN4439.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4439/aggregation-8930/LN4439.GRCh38_no_alts.cutcounts.sorted.bed.starch	8930.0
DS19051	muscle	d113	H24198	/net/seq/data/aggregations/LN4445/aggregation-8929/peaks/LN4445.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4445/aggregation-8929/LN4445.GRCh38_no_alts.cutcounts.sorted.bed.starch	8929.0
DS19053	muscle	d96	H24218	/net/seq/data/aggregations/LN4446/aggregation-8928/peaks/LN4446.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4446/aggregation-8928/LN4446.GRCh38_no_alts.cutcounts.sorted.bed.starch	8928.0
DS19260	spinal_cord	d96	H24244	/net/seq/data/aggregations/LN10054/aggregation-8835/peaks/LN10054.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10054/aggregation-8835/LN10054.GRCh38_no_alts.cutcounts.sorted.bed.starch	8835.0
DS19270	muscle	d96	H24244	/net/seq/data/aggregations/LN4501/aggregation-8917/peaks/LN4501.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4501/aggregation-8917/LN4501.GRCh38_no_alts.cutcounts.sorted.bed.starch	8917.0
DS19295	muscle	d97	H24259	/net/seq/data/aggregations/LN4511/aggregation-8912/peaks/LN4511.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4511/aggregation-8912/LN4511.GRCh38_no_alts.cutcounts.sorted.bed.starch	8912.0
DS19380	muscle	d85	H24272	/net/seq/data/aggregations/LN4520/aggregation-8910/peaks/LN4520.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4520/aggregation-8910/LN4520.GRCh38_no_alts.cutcounts.sorted.bed.starch	8910.0
DS19386	renal_pelvis	d97	H24259	/net/seq/data/aggregations/LN4523/aggregation-8908/peaks/LN4523.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4523/aggregation-8908/LN4523.GRCh38_no_alts.cutcounts.sorted.bed.starch	8908.0
DS19388	renal_cortex	d97	H24259	/net/seq/data/aggregations/LN4524/aggregation-8907/peaks/LN4524.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4524/aggregation-8907/LN4524.GRCh38_no_alts.cutcounts.sorted.bed.starch	8907.0
DS19395	adrenal	d85	H24272	/net/seq/data/aggregations/LN10086/aggregation-8816/peaks/LN10086.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10086/aggregation-8816/LN10086.GRCh38_no_alts.cutcounts.sorted.bed.starch	8816.0
DS19427	heart	d120	H24042	/net/seq/data/aggregations/LN4528/aggregation-8905/peaks/LN4528.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4528/aggregation-8905/LN4528.GRCh38_no_alts.cutcounts.sorted.bed.starch	8905.0
DS19431	heart	d91	H23744	/net/seq/data/aggregations/LN4529/aggregation-8904/peaks/LN4529.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4529/aggregation-8904/LN4529.GRCh38_no_alts.cutcounts.sorted.bed.starch	8904.0
DS19439	muscle	d101	H24279	/net/seq/data/aggregations/LN10070/aggregation-8830/peaks/LN10070.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10070/aggregation-8830/LN10070.GRCh38_no_alts.cutcounts.sorted.bed.starch	8830.0
DS19583	adrenal	d101	HS24279	/net/seq/data/aggregations/LN10085/aggregation-8817/peaks/LN10085.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10085/aggregation-8817/LN10085.GRCh38_no_alts.cutcounts.sorted.bed.starch	8817.0
DS19646	muscle	d104	H24297	/net/seq/data/aggregations/LN4608/aggregation-8896/peaks/LN4608.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4608/aggregation-8896/LN4608.GRCh38_no_alts.cutcounts.sorted.bed.starch	8896.0
DS19933	stomach	d96	H24342	/net/seq/data/aggregations/LN10053/aggregation-8836/peaks/LN10053.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10053/aggregation-8836/LN10053.GRCh38_no_alts.cutcounts.sorted.bed.starch	8836.0
DS20018	renal_cortex	d96	H24342	/net/seq/data/aggregations/LN4705/aggregation-8886/peaks/LN4705.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4705/aggregation-8886/LN4705.GRCh38_no_alts.cutcounts.sorted.bed.starch	8886.0
DS20022	renal_pelvis	d96	H24342	/net/seq/data/aggregations/LN4706/aggregation-8885/peaks/LN4706.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4706/aggregation-8885/LN4706.GRCh38_no_alts.cutcounts.sorted.bed.starch	8885.0
DS20024	renal_cortex	d96	H24365	/net/seq/data/aggregations/LN4707/aggregation-8884/peaks/LN4707.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4707/aggregation-8884/LN4707.GRCh38_no_alts.cutcounts.sorted.bed.starch	8884.0
DS20027	renal_pelvis	d96	H24365	/net/seq/data/aggregations/LN4708/aggregation-8883/peaks/LN4708.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4708/aggregation-8883/LN4708.GRCh38_no_alts.cutcounts.sorted.bed.starch	8883.0
DS20079	stomach	d96	H24365	/net/seq/data/aggregations/LN10052/aggregation-8837/peaks/LN10052.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10052/aggregation-8837/LN10052.GRCh38_no_alts.cutcounts.sorted.bed.starch	8837.0
DS20221	brain	d101	H24279	/net/seq/data/aggregations/LN4769/aggregation-8878/peaks/LN4769.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4769/aggregation-8878/LN4769.GRCh38_no_alts.cutcounts.sorted.bed.starch	8878.0
DS20226	brain	d104	H24297	/net/seq/data/aggregations/LN4770/aggregation-8877/peaks/LN4770.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4770/aggregation-8877/LN4770.GRCh38_no_alts.cutcounts.sorted.bed.starch	8877.0
DS20231	brain	d109	H24381	/net/seq/data/aggregations/LN4771/aggregation-8876/peaks/LN4771.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4771/aggregation-8876/LN4771.GRCh38_no_alts.cutcounts.sorted.bed.starch	8876.0
DS20325	muscle	y3	STL001	/net/seq/data/aggregations/LN4801/aggregation-8872/peaks/LN4801.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4801/aggregation-8872/LN4801.GRCh38_no_alts.cutcounts.sorted.bed.starch	8872.0
DS20343	adrenal	d113	H24009	/net/seq/data/aggregations/LN4804/aggregation-8869/peaks/LN4804.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4804/aggregation-8869/LN4804.GRCh38_no_alts.cutcounts.sorted.bed.starch	8869.0
DS20349	stomach	d108	H24401	/net/seq/data/aggregations/LN4806/aggregation-8868/peaks/LN4806.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4806/aggregation-8868/LN4806.GRCh38_no_alts.cutcounts.sorted.bed.starch	8868.0
DS20351	spinal_cord	d113	H24009	/net/seq/data/aggregations/LN4807/aggregation-8867/peaks/LN4807.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4807/aggregation-8867/LN4807.GRCh38_no_alts.cutcounts.sorted.bed.starch	8867.0
DS20383	heart	y3	AA4	/net/seq/data/aggregations/LN10039/aggregation-8843/peaks/LN10039.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10039/aggregation-8843/LN10039.GRCh38_no_alts.cutcounts.sorted.bed.starch	8843.0
DS20445	renal_cortex	d103	H24477	/net/seq/data/aggregations/LN10079/aggregation-8823/peaks/LN10079.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10079/aggregation-8823/LN10079.GRCh38_no_alts.cutcounts.sorted.bed.starch	8823.0
DS20448	renal_pelvis	d103	H24477	/net/seq/data/aggregations/LN4854/aggregation-8866/peaks/LN4854.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4854/aggregation-8866/LN4854.GRCh38_no_alts.cutcounts.sorted.bed.starch	8866.0
DS20530	spinal_cord	d89	H24493	/net/seq/data/aggregations/LN4865/aggregation-8865/peaks/LN4865.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4865/aggregation-8865/LN4865.GRCh38_no_alts.cutcounts.sorted.bed.starch	8865.0
DS20546	stomach	d121	H24507	/net/seq/data/aggregations/LN4869/aggregation-8863/peaks/LN4869.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4869/aggregation-8863/LN4869.GRCh38_no_alts.cutcounts.sorted.bed.starch	8863.0
DS20564	kidney	d121	H24507	/net/seq/data/aggregations/LN4871/aggregation-8862/peaks/LN4871.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4871/aggregation-8862/LN4871.GRCh38_no_alts.cutcounts.sorted.bed.starch	8862.0
DS20568	renal_cortex	d89	H24493	/net/seq/data/aggregations/LN4872/aggregation-8861/peaks/LN4872.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4872/aggregation-8861/LN4872.GRCh38_no_alts.cutcounts.sorted.bed.starch	8861.0
DS20570	renal_pelvis	d89	H24493	/net/seq/data/aggregations/LN4873/aggregation-8860/peaks/LN4873.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4873/aggregation-8860/LN4873.GRCh38_no_alts.cutcounts.sorted.bed.starch	8860.0
DS20780	brain	d105	H24510	/net/seq/data/aggregations/LN4901/aggregation-8857/peaks/LN4901.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4901/aggregation-8857/LN4901.GRCh38_no_alts.cutcounts.sorted.bed.starch	8857.0
DS20786	kidney	d105	H24510	/net/seq/data/aggregations/LN10113/aggregation-8812/peaks/LN10113.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10113/aggregation-8812/LN10113.GRCh38_no_alts.cutcounts.sorted.bed.starch	8812.0
DS20791	stomach	d105	H24510	/net/seq/data/aggregations/LN10051/aggregation-8838/peaks/LN10051.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10051/aggregation-8838/LN10051.GRCh38_no_alts.cutcounts.sorted.bed.starch	8838.0
DS20917	right_kidney	d98	H24568	/net/seq/data/aggregations/LN10076/aggregation-8826/peaks/LN10076.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10076/aggregation-8826/LN10076.GRCh38_no_alts.cutcounts.sorted.bed.starch	8826.0
DS20920	left_kidney	d98	H24568	/net/seq/data/aggregations/LN10080/aggregation-8822/peaks/LN10080.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10080/aggregation-8822/LN10080.GRCh38_no_alts.cutcounts.sorted.bed.starch	8822.0
DS20951	right_kidney	d87	H24582	/net/seq/data/aggregations/LN4936/aggregation-8854/peaks/LN4936.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4936/aggregation-8854/LN4936.GRCh38_no_alts.cutcounts.sorted.bed.starch	8854.0
DS20953	left_kidney	d87	H24582	/net/seq/data/aggregations/LN10082/aggregation-8820/peaks/LN10082.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10082/aggregation-8820/LN10082.GRCh38_no_alts.cutcounts.sorted.bed.starch	8820.0
DS20956	spinal_cord	d87	H24582	/net/seq/data/aggregations/LN4938/aggregation-8853/peaks/LN4938.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4938/aggregation-8853/LN4938.GRCh38_no_alts.cutcounts.sorted.bed.starch	8853.0
DS20988	kidney	d113	H24584	/net/seq/data/aggregations/LN10157/aggregation-8810/peaks/LN10157.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10157/aggregation-8810/LN10157.GRCh38_no_alts.cutcounts.sorted.bed.starch	8810.0
DS21044	right_kidney	d108	H24595	/net/seq/data/aggregations/LN10078/aggregation-8824/peaks/LN10078.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10078/aggregation-8824/LN10078.GRCh38_no_alts.cutcounts.sorted.bed.starch	8824.0
DS21096	kidney	d85	H24608	/net/seq/data/aggregations/LN10083/aggregation-8819/peaks/LN10083.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10083/aggregation-8819/LN10083.GRCh38_no_alts.cutcounts.sorted.bed.starch	8819.0
DS21328	right_lung	d87	H24626	/net/seq/data/aggregations/LN10073/aggregation-8828/peaks/LN10073.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10073/aggregation-8828/LN10073.GRCh38_no_alts.cutcounts.sorted.bed.starch	8828.0
DS21334	left_lung	d87	H24626	/net/seq/data/aggregations/LN10074/aggregation-8827/peaks/LN10074.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10074/aggregation-8827/LN10074.GRCh38_no_alts.cutcounts.sorted.bed.starch	8827.0
DS21340	right_kidney	d87	H24626	/net/seq/data/aggregations/LN10077/aggregation-8825/peaks/LN10077.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10077/aggregation-8825/LN10077.GRCh38_no_alts.cutcounts.sorted.bed.starch	8825.0
DS21344	left_kidney	d87	H24626	/net/seq/data/aggregations/LN10081/aggregation-8821/peaks/LN10081.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN10081/aggregation-8821/LN10081.GRCh38_no_alts.cutcounts.sorted.bed.starch	8821.0
DS21924	right_kidney	d91	H24741			
DS21928	left_kidney	d91	H24741			
DS23179	retina	d87		/net/seq/data/aggregations/LN20423/aggregation-3879/peaks/LN20423.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN20423/aggregation-3879/LN20423.GRCh38_no_alts.cutcounts.sorted.bed.starch	3879.0
DS23286	retina	d103		/net/seq/data/aggregations/LN20434/aggregation-3881/peaks/LN20434.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN20434/aggregation-3881/LN20434.GRCh38_no_alts.cutcounts.sorted.bed.starch	3881.0
DS23339	retina	d89				
DS23341	retina	d74		/net/seq/data/aggregations/LN20451/aggregation-3878/peaks/LN20451.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN20451/aggregation-3878/LN20451.GRCh38_no_alts.cutcounts.sorted.bed.starch	3878.0
DS23368	retina	d125				
DS23813	brain	d56	H25366			
DS23849	brain	d80	H25386			
DS24360	lung	d54				
DS24709	kidney	d59	H25566			
DS24711	brain	d76	H25574			
DS24726	lung	d76	H25574			
DS24731	heart	d76	H25574			
DS24733	stomach	d76	H25574			
DS24771	lung	d58	H25606			
DS24775	brain	d58	H25606			
DS24799	heart	d76	H25614			
DS24812	heart	d59	H25615			
DS24833	spinal_cord	d59	H25566			
DS24872	brain	d72	H25636			
DS24886	spinal_cord	d72	H25636			
DS37473	heart	d116	H26583			
DS37521	adrenal	y37	ENC			
DS51599	adrenal	y53	ENC			
DS14285	A549	nan	nan	/net/seq/data/aggregations/LN3026/aggregation-4093/peaks/LN3026.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3026/aggregation-4093/LN3026.GRCh38_no_alts.cutcounts.sorted.bed.starch	4093.0
DS14289	A549	nan	nan	/net/seq/data/aggregations/LN3027/aggregation-5628/peaks/LN3027.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3027/aggregation-5628/LN3027.GRCh38_no_alts.cutcounts.sorted.bed.starch	5628.0
DS12319	AG04449	nan	nan	/net/seq/data/aggregations/LN2488/aggregation-4173/peaks/LN2488.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2488/aggregation-4173/LN2488.GRCh38_no_alts.cutcounts.sorted.bed.starch	4173.0
DS12329	AG04449	nan	nan	/net/seq/data/aggregations/LN2489/aggregation-4172/peaks/LN2489.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2489/aggregation-4172/LN2489.GRCh38_no_alts.cutcounts.sorted.bed.starch	4172.0
DS12255	AG04450	nan	nan	/net/seq/data/aggregations/LN2478/aggregation-4177/peaks/LN2478.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2478/aggregation-4177/LN2478.GRCh38_no_alts.cutcounts.sorted.bed.starch	4177.0
DS12270	AG04450	nan	nan	/net/seq/data/aggregations/LN2481/aggregation-4176/peaks/LN2481.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2481/aggregation-4176/LN2481.GRCh38_no_alts.cutcounts.sorted.bed.starch	4176.0
DS12352	AG09309	nan	nan	/net/seq/data/aggregations/LN2494/aggregation-4171/peaks/LN2494.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2494/aggregation-4171/LN2494.GRCh38_no_alts.cutcounts.sorted.bed.starch	4171.0
DS12357	AG09309	nan	nan	/net/seq/data/aggregations/LN2495/aggregation-4170/peaks/LN2495.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2495/aggregation-4170/LN2495.GRCh38_no_alts.cutcounts.sorted.bed.starch	4170.0
DS12286	AG09319	nan	nan	/net/seq/data/aggregations/LN2485/aggregation-4175/peaks/LN2485.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2485/aggregation-4175/LN2485.GRCh38_no_alts.cutcounts.sorted.bed.starch	4175.0
DS12291	AG09319	nan	nan	/net/seq/data/aggregations/LN2486/aggregation-4174/peaks/LN2486.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2486/aggregation-4174/LN2486.GRCh38_no_alts.cutcounts.sorted.bed.starch	4174.0
DS12374	AG10803	nan	nan	/net/seq/data/aggregations/LN2497/aggregation-4169/peaks/LN2497.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2497/aggregation-4169/LN2497.GRCh38_no_alts.cutcounts.sorted.bed.starch	4169.0
DS12384	AG10803	nan	nan	/net/seq/data/aggregations/LN2500/aggregation-4168/peaks/LN2500.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2500/aggregation-4168/LN2500.GRCh38_no_alts.cutcounts.sorted.bed.starch	4168.0
DS13513	AoAF	nan	nan	/net/seq/data/aggregations/LN2811/aggregation-4110/peaks/LN2811.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN2811/aggregation-4110/LN2811.GRCh38_no_alts.cutcounts.sorted.bed.starch	4110.0
