Human	Mouse	jaccard12
ENSG00000260785	ENSMUSG00000102682	0.003623188
ENSG00000265128	ENSMUSG00000107815	0.00362069
ENSG00000258313	ENSMUSG00000097115	0.003608868
ENSG00000260698	ENSMUSG00000085229	0.003603913
ENSG00000253475	ENSMUSG00000104631	0.003600823
ENSG00000254394	ENSMUSG00000030636	0.003593429
ENSG00000257906	ENSMUSG00000107334	0.0035922
ENSG00000249167	ENSMUSG00000101840	0.003589744
ENSG00000237751	ENSMUSG00000089787	0.003588517
ENSG00000230686	ENSMUSG00000084887	0.003584229
ENSG00000253988	ENSMUSG00000106061	0.003584229
ENSG00000231252	ENSMUSG00000100896	0.003579342
ENSG00000234736	ENSMUSG00000105673	0.003579342
ENSG00000229047	ENSMUSG00000100459	0.003572644
ENSG00000258903	ENSMUSG00000097995	0.003571429
ENSG00000223635	ENSMUSG00000085427	0.003570821
ENSG00000229558	ENSMUSG00000092187	0.003570791
ENSG00000232548	ENSMUSG00000085760	0.003567182
ENSG00000258738	ENSMUSG00000089726	0.003559925
ENSG00000262155	ENSMUSG00000098534	0.003557513
ENSG00000184224	ENSMUSG00000087083	0.003543706
ENSG00000228452	ENSMUSG00000100556	0.003537736
ENSG00000255539	ENSMUSG00000099608	0.00353714
ENSG00000256072	ENSMUSG00000105777	0.003535949
ENSG00000261104	ENSMUSG00000100465	0.003535949
ENSG00000260763	ENSMUSG00000100824	0.003531786
ENSG00000257178	ENSMUSG00000055818	0.003528226
ENSG00000273308	ENSMUSG00000109145	0.003481086
ENSG00000281566	ENSMUSG00000100537	0.003480077
ENSG00000257114	ENSMUSG00000107279	0.003475239
ENSG00000228215	ENSMUSG00000102770	0.00347162
ENSG00000228543	ENSMUSG00000108267	0.003446493
ENSG00000258696	ENSMUSG00000085229	0.003443526
ENSG00000248980	ENSMUSG00000105104	0.003428767
ENSG00000270108	ENSMUSG00000099678	0.00342818
ENSG00000249057	ENSMUSG00000109284	0.003419973
ENSG00000223542	ENSMUSG00000085206	0.003412969
ENSG00000254365	ENSMUSG00000107143	0.003412387
ENSG00000275557	ENSMUSG00000085454	0.003406575
ENSG00000273659	ENSMUSG00000098196	0.003403188
ENSG00000267491	ENSMUSG00000087416	0.003403097
ENSG00000280936	ENSMUSG00000096988	0.003401939
ENSG00000244491	ENSMUSG00000109283	0.003400204
ENSG00000233746	ENSMUSG00000097448	0.003396739
ENSG00000236432	ENSMUSG00000106674	0.003396162
ENSG00000259727	ENSMUSG00000085469	0.003393857
ENSG00000231758	ENSMUSG00000085211	0.00339213
ENSG00000203886	ENSMUSG00000105354	0.003388108
ENSG00000248969	ENSMUSG00000087330	0.003384667
ENSG00000276473	ENSMUSG00000102215	0.003383522
ENSG00000248373	ENSMUSG00000089849	0.003383522
ENSG00000240063	ENSMUSG00000089726	0.003380091
ENSG00000277022	ENSMUSG00000104016	0.003374958
ENSG00000250056	ENSMUSG00000074354	0.003374958
ENSG00000275532	ENSMUSG00000098720	0.00337325
ENSG00000276269	ENSMUSG00000105811	0.003370976
ENSG00000245148	ENSMUSG00000055833	0.003370408
ENSG00000262332	ENSMUSG00000105354	0.00336984
ENSG00000228162	ENSMUSG00000100465	0.003365304
ENSG00000254223	ENSMUSG00000101820	0.003363427
ENSG00000260183	ENSMUSG00000108856	0.003358522
ENSG00000230831	ENSMUSG00000085864	0.003311258
ENSG00000223414	ENSMUSG00000086522	0.003308375
ENSG00000243012	ENSMUSG00000085864	0.00330033
ENSG00000233262	ENSMUSG00000087360	0.003286629
ENSG00000263477	ENSMUSG00000085345	0.003282654
ENSG00000236968	ENSMUSG00000084829	0.00327982
ENSG00000259042	ENSMUSG00000107279	0.003279254
ENSG00000242770	ENSMUSG00000086154	0.00326685
ENSG00000261269	ENSMUSG00000085903	0.003261803
ENSG00000271204	ENSMUSG00000085229	0.003256771
ENSG00000226431	ENSMUSG00000085229	0.003256213
ENSG00000224075	ENSMUSG00000054618	0.003255097
ENSG00000259635	ENSMUSG00000087653	0.003255097
ENSG00000225235	ENSMUSG00000102517	0.003255097
ENSG00000237152	ENSMUSG00000097156	0.003251198
ENSG00000268751	ENSMUSG00000087653	0.003251198
ENSG00000225213	ENSMUSG00000086595	0.00324509
ENSG00000256149	ENSMUSG00000086765	0.003241768
ENSG00000235010	ENSMUSG00000106978	0.003232392
ENSG00000263863	ENSMUSG00000101695	0.003230743
ENSG00000231814	ENSMUSG00000097892	0.003230743
ENSG00000254648	ENSMUSG00000107164	0.003230743
ENSG00000250908	ENSMUSG00000029331	0.003230194
ENSG00000249645	ENSMUSG00000108481	0.003228547
ENSG00000259849	ENSMUSG00000106227	0.003223617
ENSG00000227564	ENSMUSG00000085033	0.003221977
ENSG00000178977	ENSMUSG00000107509	0.003213259
ENSG00000260145	ENSMUSG00000084829	0.003211991
ENSG00000250947	ENSMUSG00000102377	0.003211629
ENSG00000250365	ENSMUSG00000087587	0.003211087
ENSG00000245975	ENSMUSG00000087336	0.003208376
ENSG00000261743	ENSMUSG00000099387	0.003207413
ENSG00000223774	ENSMUSG00000092275	0.003205128
ENSG00000277797	ENSMUSG00000104016	0.003202967
ENSG00000258172	ENSMUSG00000084792	0.003193814
ENSG00000257052	ENSMUSG00000087044	0.003193188
ENSG00000232876	ENSMUSG00000048106	0.003191132
ENSG00000223842	ENSMUSG00000084829	0.003182461
ENSG00000259039	ENSMUSG00000100597	0.003147403
ENSG00000251250	ENSMUSG00000085864	0.003120666
ENSG00000242012	ENSMUSG00000084776	0.003108998
ENSG00000259331	ENSMUSG00000098630	0.003103983
ENSG00000234056	ENSMUSG00000086717	0.003080082
ENSG00000237759	ENSMUSG00000087381	0.003077975
ENSG00000233033	ENSMUSG00000079163	0.003072721
ENSG00000261275	ENSMUSG00000085594	0.003068531
ENSG00000270673	ENSMUSG00000104847	0.003068531
ENSG00000231492	ENSMUSG00000086636	0.003068007
ENSG00000261013	ENSMUSG00000099139	0.003067485
ENSG00000233464	ENSMUSG00000078494	0.00306644
ENSG00000247095	ENSMUSG00000108977	0.003065395
ENSG00000227646	ENSMUSG00000086352	0.003064873
ENSG00000273853	ENSMUSG00000099516	0.003063308
ENSG00000250781	ENSMUSG00000086352	0.003061745
ENSG00000235865	ENSMUSG00000085436	0.003059143
ENSG00000262050	ENSMUSG00000097181	0.003057065
ENSG00000272702	ENSMUSG00000097750	0.0030524
ENSG00000236130	ENSMUSG00000085714	0.003051882
ENSG00000251443	ENSMUSG00000108242	0.003047748
ENSG00000279873	ENSMUSG00000090086	0.003046201
ENSG00000274979	ENSMUSG00000089870	0.00304414
ENSG00000232590	ENSMUSG00000098040	0.003043625
ENSG00000232891	ENSMUSG00000097316	0.003042082
ENSG00000235927	ENSMUSG00000056579	0.003041054
ENSG00000267423	ENSMUSG00000101061	0.003039514
ENSG00000237588	ENSMUSG00000108714	0.003037462
ENSG00000264151	ENSMUSG00000100684	0.003035413
ENSG00000254372	ENSMUSG00000100039	0.003034901
ENSG00000255178	ENSMUSG00000053656	0.003033878
ENSG00000231110	ENSMUSG00000092576	0.003033878
ENSG00000227336	ENSMUSG00000085991	0.003032345
ENSG00000248939	ENSMUSG00000104016	0.003030813
ENSG00000226088	ENSMUSG00000098234	0.003028773
ENSG00000228730	ENSMUSG00000106063	0.003027245
ENSG00000257458	ENSMUSG00000106371	0.003026227
ENSG00000274758	ENSMUSG00000087530	0.003025719
ENSG00000255027	ENSMUSG00000100465	0.003025719
ENSG00000229400	ENSMUSG00000109294	0.003024702
ENSG00000250694	ENSMUSG00000085183	0.003024702
ENSG00000269037	ENSMUSG00000100465	0.003024702
ENSG00000272710	ENSMUSG00000104487	0.003023178
ENSG00000227838	ENSMUSG00000106036	0.003020134
ENSG00000237699	ENSMUSG00000086321	0.003005824
ENSG00000253720	ENSMUSG00000087410	0.002996816
ENSG00000236199	ENSMUSG00000086310	0.002978798
ENSG00000255029	ENSMUSG00000093556	0.002954466
ENSG00000276888	ENSMUSG00000090038	0.002943723
ENSG00000227029	ENSMUSG00000106906	0.002925486
ENSG00000251410	ENSMUSG00000104366	0.002916953
ENSG00000255811	ENSMUSG00000109442	0.002915952
ENSG00000261758	ENSMUSG00000097797	0.002913953
ENSG00000262898	ENSMUSG00000101674	0.002905983
ENSG00000235201	ENSMUSG00000085229	0.002905983
ENSG00000258480	ENSMUSG00000098155	0.002903997
ENSG00000225376	ENSMUSG00000070995	0.002903005
ENSG00000224702	ENSMUSG00000030636	0.002900529
ENSG00000249116	ENSMUSG00000104411	0.002900529
ENSG00000273341	ENSMUSG00000085427	0.002896575
ENSG00000271709	ENSMUSG00000086451	0.002896082
ENSG00000226906	ENSMUSG00000108949	0.002892632
ENSG00000260173	ENSMUSG00000085041	0.002890665
ENSG00000247131	ENSMUSG00000063714	0.002888209
ENSG00000229229	ENSMUSG00000104543	0.002885268
ENSG00000269599	ENSMUSG00000084992	0.002885268
ENSG00000260604	ENSMUSG00000085965	0.0028838
ENSG00000248468	ENSMUSG00000109010	0.002881356
ENSG00000264634	ENSMUSG00000106023	0.00288038
ENSG00000249365	ENSMUSG00000109175	0.002878916
ENSG00000260894	ENSMUSG00000084835	0.002877941
ENSG00000282535	ENSMUSG00000085899	0.002875994
ENSG00000225752	ENSMUSG00000085714	0.002874535
ENSG00000258751	ENSMUSG00000054135	0.002872592
ENSG00000268683	ENSMUSG00000091425	0.002872592
ENSG00000266968	ENSMUSG00000084921	0.002871622
ENSG00000271155	ENSMUSG00000086889	0.002871622
ENSG00000277287	ENSMUSG00000089726	0.002870167
ENSG00000248936	ENSMUSG00000086095	0.002868714
ENSG00000258081	ENSMUSG00000107509	0.002868714
ENSG00000277566	ENSMUSG00000085238	0.002863399
ENSG00000205488	ENSMUSG00000080058	0.002862435
ENSG00000260293	ENSMUSG00000085351	0.002862435
ENSG00000259595	ENSMUSG00000108166	0.00286099
ENSG00000261583	ENSMUSG00000085189	0.002859065
ENSG00000227533	ENSMUSG00000097520	0.002858584
ENSG00000254740	ENSMUSG00000085896	0.002856663
ENSG00000223641	ENSMUSG00000087180	0.002855223
ENSG00000225339	ENSMUSG00000085992	0.002795248
ENSG00000237870	ENSMUSG00000086159	0.002786971
ENSG00000250333	ENSMUSG00000084853	0.002784061
ENSG00000233553	ENSMUSG00000086298	0.002781383
ENSG00000255032	ENSMUSG00000086159	0.002780674
ENSG00000235158	ENSMUSG00000055961	0.002776332
ENSG00000224417	ENSMUSG00000108930	0.002775369
ENSG00000251526	ENSMUSG00000090500	0.002769604
ENSG00000261570	ENSMUSG00000100252	0.002768645
ENSG00000259555	ENSMUSG00000085861	0.002762908
ENSG00000256381	ENSMUSG00000089819	0.002762431
ENSG00000225850	ENSMUSG00000093489	0.002762431
ENSG00000225768	ENSMUSG00000101895	0.002761954
ENSG00000266256	ENSMUSG00000085229	0.002741604
ENSG00000272909	ENSMUSG00000106311	0.002741134
ENSG00000249592	ENSMUSG00000105664	0.002741134
ENSG00000165511	ENSMUSG00000108267	0.002735978
ENSG00000251371	ENSMUSG00000105963	0.002733174
ENSG00000255202	ENSMUSG00000048603	0.002731774
ENSG00000253354	ENSMUSG00000086915	0.00272991
ENSG00000228008	ENSMUSG00000108977	0.002727583
ENSG00000279571	ENSMUSG00000084839	0.002727118
ENSG00000224250	ENSMUSG00000086765	0.002727118
ENSG00000226846	ENSMUSG00000084956	0.002723404
ENSG00000259813	ENSMUSG00000087535	0.002721088
ENSG00000226496	ENSMUSG00000108417	0.002714625
ENSG00000257830	ENSMUSG00000021268	0.002713704
ENSG00000261122	ENSMUSG00000102682	0.002713459
ENSG00000255494	ENSMUSG00000097299	0.002710486
ENSG00000272428	ENSMUSG00000109407	0.002710027
ENSG00000230423	ENSMUSG00000105227	0.002710027
ENSG00000254297	ENSMUSG00000087084	0.002708651
ENSG00000234891	ENSMUSG00000084816	0.002704987
ENSG00000235146	ENSMUSG00000097893	0.002704791
ENSG00000239946	ENSMUSG00000086762	0.002704073
ENSG00000278532	ENSMUSG00000098234	0.002703616
ENSG00000250447	ENSMUSG00000106519	0.002702216
ENSG00000231358	ENSMUSG00000085234	0.002701334
ENSG00000246316	ENSMUSG00000108949	0.002699966
ENSG00000240152	ENSMUSG00000085317	0.002699511
ENSG00000234279	ENSMUSG00000085211	0.002698145
ENSG00000224574	ENSMUSG00000093390	0.002697235
ENSG00000253515	ENSMUSG00000084809	0.002695418
ENSG00000273355	ENSMUSG00000038491	0.002694964
ENSG00000234871	ENSMUSG00000108207	0.00269451
ENSG00000280780	ENSMUSG00000105716	0.00269451
ENSG00000234551	ENSMUSG00000105401	0.00269451
ENSG00000237159	ENSMUSG00000073147	0.002693149
ENSG00000258553	ENSMUSG00000093565	0.00268998
ENSG00000253716	ENSMUSG00000108655	0.002689528
ENSG00000248482	ENSMUSG00000084766	0.002689076
ENSG00000236896	ENSMUSG00000108856	0.002684564
ENSG00000229723	ENSMUSG00000108824	0.00267905
ENSG00000255825	ENSMUSG00000098145	0.002651515
ENSG00000231173	ENSMUSG00000097910	0.002648505
ENSG00000225092	ENSMUSG00000086866	0.002631579
ENSG00000253888	ENSMUSG00000104522	0.00261324
ENSG00000233695	ENSMUSG00000097120	0.002612915
ENSG00000269391	ENSMUSG00000084853	0.002610966
ENSG00000269460	ENSMUSG00000108930	0.002601908
ENSG00000231815	ENSMUSG00000085864	0.002601006
ENSG00000270030	ENSMUSG00000067745	0.002592913
ENSG00000255496	ENSMUSG00000087691	0.002583089
ENSG00000239498	ENSMUSG00000109113	0.002582645
ENSG00000234707	ENSMUSG00000085345	0.002581756
ENSG00000225258	ENSMUSG00000105104	0.002580423
ENSG00000187013	ENSMUSG00000052248	0.002569813
ENSG00000273483	ENSMUSG00000100188	0.002569373
ENSG00000253381	ENSMUSG00000087568	0.002564103
ENSG00000253539	ENSMUSG00000085847	0.002563664
ENSG00000231125	ENSMUSG00000087547	0.002561038
ENSG00000205959	ENSMUSG00000086326	0.002560601
ENSG00000240707	ENSMUSG00000103413	0.002557545
ENSG00000256306	ENSMUSG00000089718	0.002555031
ENSG00000256971	ENSMUSG00000059244	0.002552323
ENSG00000248318	ENSMUSG00000103459	0.002552323
ENSG00000226207	ENSMUSG00000100341	0.00254972
ENSG00000152931	ENSMUSG00000085414	0.002547554
ENSG00000250555	ENSMUSG00000098682	0.002543666
ENSG00000272288	ENSMUSG00000063714	0.002543666
ENSG00000260996	ENSMUSG00000097960	0.00253893
ENSG00000225163	ENSMUSG00000105673	0.002537642
ENSG00000272293	ENSMUSG00000097816	0.002534212
ENSG00000275854	ENSMUSG00000085772	0.002533356
ENSG00000258345	ENSMUSG00000108081	0.002533356
ENSG00000259616	ENSMUSG00000100420	0.0025325
ENSG00000231243	ENSMUSG00000101102	0.0025325
ENSG00000278158	ENSMUSG00000102774	0.002532073
ENSG00000229155	ENSMUSG00000104568	0.002531218
ENSG00000263253	ENSMUSG00000085317	0.002529938
ENSG00000251072	ENSMUSG00000106978	0.002529938
ENSG00000259223	ENSMUSG00000086594	0.00252738
ENSG00000237994	ENSMUSG00000051986	0.00252738
ENSG00000234892	ENSMUSG00000087617	0.002526529
ENSG00000234147	ENSMUSG00000085305	0.002526103
ENSG00000248195	ENSMUSG00000100120	0.002525678
ENSG00000254826	ENSMUSG00000086526	0.002524403
ENSG00000282143	ENSMUSG00000099876	0.002523978
ENSG00000232885	ENSMUSG00000100303	0.002523129
ENSG00000268649	ENSMUSG00000087343	0.002522704
ENSG00000270761	ENSMUSG00000087433	0.00252228
ENSG00000270951	ENSMUSG00000099827	0.002516779
ENSG00000203280	ENSMUSG00000086000	0.00248139
ENSG00000230908	ENSMUSG00000084829	0.002473498
ENSG00000272342	ENSMUSG00000085491	0.002459327
ENSG00000259935	ENSMUSG00000100073	0.002450551
ENSG00000267532	ENSMUSG00000030636	0.002448409
ENSG00000270115	ENSMUSG00000108509	0.00243563
ENSG00000260943	ENSMUSG00000093556	0.0024314
ENSG00000205682	ENSMUSG00000109113	0.002426764
ENSG00000275248	ENSMUSG00000100158	0.002406739
ENSG00000225836	ENSMUSG00000102582	0.002406325
ENSG00000270160	ENSMUSG00000085889	0.002401626
ENSG00000236921	ENSMUSG00000086643	0.00239644
ENSG00000264527	ENSMUSG00000021268	0.002391464
ENSG00000249971	ENSMUSG00000104894	0.002389486
ENSG00000275278	ENSMUSG00000055446	0.002387856
ENSG00000254050	ENSMUSG00000106251	0.002387449
ENSG00000265393	ENSMUSG00000084843	0.002385415
ENSG00000234435	ENSMUSG00000106708	0.00238379
ENSG00000233643	ENSMUSG00000087163	0.002383384
ENSG00000261839	ENSMUSG00000087110	0.002380952
ENSG00000267764	ENSMUSG00000107408	0.002377314
ENSG00000183822	ENSMUSG00000086715	0.002376103
ENSG00000272139	ENSMUSG00000099139	0.002371675
ENSG00000235038	ENSMUSG00000106287	0.002371274
ENSG00000233044	ENSMUSG00000087592	0.002370872
ENSG00000254473	ENSMUSG00000063714	0.002368866
ENSG00000277954	ENSMUSG00000086037	0.002368466
ENSG00000234763	ENSMUSG00000087517	0.002367264
ENSG00000229249	ENSMUSG00000105076	0.002366464
ENSG00000196096	ENSMUSG00000108043	0.002366064
ENSG00000204603	ENSMUSG00000087704	0.002364465
ENSG00000277420	ENSMUSG00000087215	0.002363667
ENSG00000240476	ENSMUSG00000101314	0.002363667
ENSG00000233030	ENSMUSG00000097911	0.002363268
ENSG00000226645	ENSMUSG00000084837	0.002361275
ENSG00000272848	ENSMUSG00000097953	0.002361275
ENSG00000205632	ENSMUSG00000085152	0.002360877
ENSG00000245275	ENSMUSG00000109008	0.002360877
ENSG00000231690	ENSMUSG00000018451	0.002360479
ENSG00000247400	ENSMUSG00000075431	0.002360081
ENSG00000258999	ENSMUSG00000085873	0.002358919
ENSG00000271911	ENSMUSG00000079045	0.002358888
ENSG00000249846	ENSMUSG00000105482	0.002358093
ENSG00000248686	ENSMUSG00000085834	0.002357299
ENSG00000243969	ENSMUSG00000086070	0.002356902
ENSG00000272456	ENSMUSG00000105811	0.002356902
ENSG00000229258	ENSMUSG00000101583	0.002355316
ENSG00000233912	ENSMUSG00000086889	0.002355316
ENSG00000259285	ENSMUSG00000084844	0.002355316
ENSG00000279151	ENSMUSG00000101995	0.002355316
ENSG00000237327	ENSMUSG00000100782	0.002353732
ENSG00000243953	ENSMUSG00000104156	0.002353337
ENSG00000259038	ENSMUSG00000104786	0.002353337
ENSG00000230381	ENSMUSG00000090039	0.002353337
ENSG00000256988	ENSMUSG00000097336	0.002353337
ENSG00000278698	ENSMUSG00000106567	0.002352546
ENSG00000258569	ENSMUSG00000085069	0.002352151
ENSG00000239454	ENSMUSG00000097399	0.002350176
ENSG00000251239	ENSMUSG00000087523	0.002349387
ENSG00000249601	ENSMUSG00000097296	0.002348599
ENSG00000233942	ENSMUSG00000097693	0.002348205
ENSG00000273428	ENSMUSG00000106871	0.002321843
ENSG00000231040	ENSMUSG00000085047	0.002265203
ENSG00000236295	ENSMUSG00000086159	0.002258121
ENSG00000237563	ENSMUSG00000084757	0.002246414
ENSG00000255983	ENSMUSG00000099815	0.002246026
ENSG00000272145	ENSMUSG00000101600	0.002240993
ENSG00000258747	ENSMUSG00000098515	0.002240221
ENSG00000250357	ENSMUSG00000104531	0.002237522
ENSG00000258214	ENSMUSG00000086185	0.002229463
ENSG00000244541	ENSMUSG00000105152	0.00222679
ENSG00000232808	ENSMUSG00000087667	0.002224123
ENSG00000238022	ENSMUSG00000097256	0.002220704
ENSG00000261622	ENSMUSG00000085765	0.002220325
ENSG00000234577	ENSMUSG00000104631	0.002220325
ENSG00000260769	ENSMUSG00000086595	0.002219945
ENSG00000235802	ENSMUSG00000087590	0.002218052
ENSG00000272902	ENSMUSG00000093424	0.002218052
ENSG00000260806	ENSMUSG00000099635	0.002214651
ENSG00000235862	ENSMUSG00000044689	0.002213896
ENSG00000267341	ENSMUSG00000086636	0.002213143
ENSG00000225730	ENSMUSG00000091881	0.002212013
ENSG00000264262	ENSMUSG00000067352	0.002209381
ENSG00000261249	ENSMUSG00000099516	0.002209381
ENSG00000229393	ENSMUSG00000085411	0.002207506
ENSG00000273449	ENSMUSG00000109399	0.002206007
ENSG00000229301	ENSMUSG00000090034	0.002203016
ENSG00000228379	ENSMUSG00000107597	0.002202643
ENSG00000249458	ENSMUSG00000073067	0.00220227
ENSG00000223561	ENSMUSG00000053714	0.00220227
ENSG00000243276	ENSMUSG00000104015	0.002200779
ENSG00000250313	ENSMUSG00000105274	0.002197802
ENSG00000276668	ENSMUSG00000100616	0.002191134
ENSG00000254021	ENSMUSG00000097316	0.002189658
ENSG00000261305	ENSMUSG00000106492	0.002188921
ENSG00000254844	ENSMUSG00000074507	0.002188921
ENSG00000253407	ENSMUSG00000089870	0.002188552
ENSG00000189275	ENSMUSG00000086364	0.002188184
ENSG00000258418	ENSMUSG00000102098	0.002187447
ENSG00000271937	ENSMUSG00000085234	0.002186712
ENSG00000259488	ENSMUSG00000085995	0.002185976
ENSG00000282964	ENSMUSG00000038917	0.002185609
ENSG00000280837	ENSMUSG00000049160	0.002185609
ENSG00000224614	ENSMUSG00000107164	0.002185241
ENSG00000242861	ENSMUSG00000086134	0.002184507
ENSG00000251321	ENSMUSG00000086963	0.00218414
ENSG00000254699	ENSMUSG00000085228	0.002183773
ENSG00000259091	ENSMUSG00000101671	0.002183406
ENSG00000232019	ENSMUSG00000042549	0.002181208
ENSG00000240423	ENSMUSG00000099863	0.002180476
ENSG00000249016	ENSMUSG00000100154	0.002180476
ENSG00000274718	ENSMUSG00000100211	0.002180111
